abalone 4,4177,8199,10380,12795
abandon 1,4793
abandoned 2,11520,12841
abandoning 1,13051
abdomen 2,5186,17870
abdominals 1,5185
abeyance 3,12488,16958,19174
abide 1,7735
abiding 1,15296
ability 5,886,1541,1832,1882,2956
ablaze 3,6649,10952,11765
able 41,768,1063,2670,2875,3123,4080,4193,4332,4539,4623,4631,4719,4810,4971,5571,5942,6129,6704,6859,6944,7051,7870,8373,9886,9913,9950,11548,12448,12493,12596,12701,13018,13450,14321,15394,16014,17911,18235,18260,18293,19396
aboard 49,784,801,1386,1394,1492,1517,1797,1800,3439,3518,3541,3564,3636,3663,3727,3746,4211,4222,4297,4427,4781,4983,5025,6704,6911,7175,7402,7505,8076,8352,8833,10643,11160,11396,11472,11559,12292,14456,14458,17409,17450,17920,18186,18536,18798,18969,19252,19295,19384
abode 1,12283
abominable 2,11381,11383
aborigines 1,7231
abounded 1,5953
about 192,62,64,81,113,508,746,785,789,999,1172,1174,1323,1332,1547,1593,1685,1886,2269,2357,2472,2479,2517,2578,2743,2790,2793,2826,2846,3010,3124,3147,3222,3261,3339,3362,3409,3721,4086,4111,4216,4339,4361,4549,4626,4636,4782,4962,5011,5041,5145,5157,5173,5276,5392,5484,5544,5636,5705,6001,6426,6497,6514,6559,6740,6888,6907,6976,7144,7156,7157,7230,7240,7242,7280,7514,7529,7866,7906,8183,8339,8357,8373,8387,8460,8469,8471,8478,8541,8754,9096,9170,9204,9857,10060,10104,10157,10162,10299,10322,10350,10406,10415,10482,10588,10589,10627,10730,10802,10868,10888,10901,10927,10938,10968,11003,11073,11167,11294,11569,11817,11961,11968,11975,12052,12083,12114,12155,12378,12428,12442,12501,12523,12530,13038,13091,13122,13165,13212,13282,13494,13544,13550,13553,13839,13943,13957,13997,14094,14102,14114,14539,14642,14738,14856,14994,15022,15537,15701,15884,16083,16262,16326,16362,16400,16406,16663,16694,16724,16887,16964,17025,17306,17440,17468,17508,17546,17559,17621,17693,17885,18079,18517,18526,18534,18608,18972,19014,19279,19327,19348,19392
above 73,214,800,1449,1550,1680,1843,2225,2372,2743,2774,2800,2931,3310,3394,4621,4677,4879,4912,5293,5649,5922,5987,6224,6242,6247,6259,6538,6625,6636,7897,10823,10903,10922,10951,11027,11268,11491,11834,12249,12715,12736,13507,13622,13668,13743,13768,13772,13854,13880,13882,13895,13904,13921,14087,14189,14560,14775,15455,15459,15601,15606,15608,16006,16022,16401,16575,16675,16918,17130,17840,18592,18986,19025
abrasions 1,9015
abreast 16,987,1466,1587,1810,2039,7027,11514,14635,17089,17198,17218,18009,18042,18075,18259,18518
abridged 1,630
abroad 2,3540,13232
abrou 1,7691
abruptly 7,925,1918,2111,2499,3496,10062,15280
absence 7,954,1334,5393,5430,5564,15794,15810
absent 1,3121
absolute 3,4790,16487,18639
absolutely 9,3381,4203,4448,4659,7546,10502,11615,12294,15419
absolve 1,3649
absorb 3,6459,6465,16751
absorbed 2,3247,3627
absorbing 2,3224,6341
absorbs 1,6463
absurd 1,8845
abundance 1,3967
abundant 9,1112,4892,5400,6073,6467,7557,12799,15905,15975
abundantly 3,5434,5723,13480
abuse 1,4215
acanthopterygians 1,5178
accelerate 1,568
accelerated 1,16500
accent 2,3036,3546
accented 2,8151,18026
accenting 1,11665
accentuated 1,19306
accentuation 1,2973
accept 27,156,1060,1076,1085,1612,1675,2713,3412,3418,3642,3651,3658,4682,5109,5530,5704,7120,7163,9086,11288,12164,12169,14085,17580,17824,18092,18486
acceptable 4,1966,8155,9864,10289
acceptance 1,14366
accepted 7,725,1124,1150,1246,11030,13714,16638
accepting 2,797,10282
accepts 1,272
access 6,111,4627,5763,8121,11116,19363
accessories 1,4613
accident 10,851,894,1746,1756,7317,16312,16326,16336,18589,18675
accidental 2,4759,4761
accidentally 3,6075,8799,19403
accidents 1,3573
acclaimed 2,1463,5818
acclimatized 1,9896
accommodations 4,1406,4485,4613,4836
accompanied 2,6947,9091
accompany 1,6018
accompanying 3,8638,15598,19408
accomplice 1,19138
accomplices 1,18956
accomplish 1,4357
accomplished 6,6723,12570,15562,15834,16695,16898
according 14,2942,3228,4660,6752,6940,10019,10433,11335,14310,14814,15294,15750,16076,17656
accordingly 1,2558
account 7,949,3622,4663,7036,13616,16115,16702
accounting 1,16028
accumulation 1,18423
accuracy 5,4396,5440,8552,11311,18524
accurate 7,12825,13825,15313,17280,17914,18392,19456
accurately 3,343,14282,17725
accursed 1,18882
accused 3,957,13077,15479
accusing 1,5640
accustomed 8,3804,6069,7150,10837,11989,13497,14747,16215
acetabuliferous 1,10035
ached 1,5073
achieve 1,14357
achieved 1,2715
achievement 1,6768
achievements 2,3976,6725
acquaintance 1,3535
acquiesce 1,14356
acquired 1,5237
acquiring 2,4077,4189
acres 1,665
acrobatic 1,1271
acropolis 1,13692
across 15,2779,4278,7400,9805,10960,11047,11359,12725,13248,13406,13602,14097,18042,19180,19466
act 9,3416,3695,4212,6647,13345,14686,16914,18957,19132
acted 1,16586
acting 3,3648,6844,7618
action 19,564,606,2198,5454,5531,8672,10741,12997,13571,13761,14053,14330,15763,17468,18126,18698,18977,19018,19052
actions 1,3622
activate 3,4515,5694,6026
activated 2,1436,6168
active 3,6425,14020,15730
activities 3,6967,7028,15140
activity 6,2296,8698,10289,13098,14747,15224
actual 27,1114,4406,5580,5655,6102,6252,6399,7084,8154,8702,8732,9166,9892,10050,11725,11783,11824,12524,12714,12723,14105,14284,15069,15894,17491,17686,19316
actually 11,1697,4548,5100,5964,9163,12671,13064,13291,15877,16234,18829
acute 3,933,12618,19288
ad 1,5729
adapt 2,3316,18084
add 12,2938,3954,5751,6750,7763,11758,12731,14092,14528,16631,17471,18038
added 35,519,877,2136,2168,2975,3398,4194,4615,4668,4968,5285,5524,5568,5626,6474,7600,7673,7982,8409,9266,9763,10343,10487,10880,11780,12076,12256,12920,13212,14718,15494,16468,17115,17355,19235
addicted 1,14868
adding 1,8627
addition 4,223,7644,15781,16070
additional 4,245,255,7032,16990
address 9,3659,3810,4813,8820,10728,12385,12418,17315,18622
addressed 6,1294,5493,8808,11750,14989,18571
addressing 3,5568,6481,18892
adds 3,564,11385,12168
adequate 1,6149
adequately 1,8598
adhering 1,4603
adjoining 2,5866,13086
adjoins 1,4231
